Date,Temp_nat,Temp_opt,Depth_M1_ft,Depth_M2_ft,Depth_Opt
1-Jan-20,,,15.63,15.41,50
2-Jan-20,,,15.62,15.38,50
3-Jan-20,,,15.61,15.26,50
4-Jan-20,,,15.57,15.14,50
5-Jan-20,,,15.54,15.08,50
6-Jan-20,,,15.52,15.05,50
7-Jan-20,,,15.51,15.06,50
8-Jan-20,,,15.51,15.07,50
9-Jan-20,,,15.5,15.07,50
10-Jan-20,,,15.48,15.08,50
11-Jan-20,,,15.47,15.11,50
12-Jan-20,,,15.46,15.12,50
13-Jan-20,,,15.45,15.1,50
14-Jan-20,,,15.41,15.02,50
15-Jan-20,,,15.39,14.97,50
16-Jan-20,,,15.38,14.95,50
17-Jan-20,,,15.36,14.94,50
18-Jan-20,,,15.29,14.93,50
19-Jan-20,,,15.23,14.92,50
20-Jan-20,,,15.2,14.92,50
21-Jan-20,,,15.17,14.91,50
22-Jan-20,,,15.14,14.89,50
23-Jan-20,,,15.15,14.89,50
24-Jan-20,,,15.16,14.92,50
25-Jan-20,,,15.11,14.94,50
26-Jan-20,,,15.09,14.99,50
27-Jan-20,,,15.08,14.95,50
28-Jan-20,,,15.06,14.65,50
29-Jan-20,,,15.06,14.73,50
30-Jan-20,,,15.05,14.77,50
31-Jan-20,,,15.07,14.82,50
1-Feb-20,,,15.16,14.99,50
2-Feb-20,,,15.11,15,50
3-Feb-20,,,15.09,14.98,50
4-Feb-20,,,15.12,14.94,50
5-Feb-20,,,15.16,14.9,50
6-Feb-20,,,15.14,14.87,50
7-Feb-20,,,15.17,14.9,50
8-Feb-20,,,15.16,14.91,50
9-Feb-20,,,15.13,14.94,50
10-Feb-20,,,15.1,14.9,50
11-Feb-20,,,15.09,14.87,50
12-Feb-20,,,15.06,14.84,50
13-Feb-20,,,15.01,14.83,50
14-Feb-20,,,15.02,14.86,50
15-Feb-20,,,15.17,15.04,50
16-Feb-20,,,15.07,14.96,50
17-Feb-20,,,15.02,14.91,50
18-Feb-20,,,15,14.89,50
19-Feb-20,,,14.99,14.87,50
20-Feb-20,,,14.98,14.86,50
21-Feb-20,,,14.98,14.86,50
22-Feb-20,,,14.98,14.86,50
23-Feb-20,,,14.99,14.87,50
24-Feb-20,,,14.98,14.86,50
25-Feb-20,,,14.97,14.85,50
26-Feb-20,,,14.98,14.85,50
27-Feb-20,,,14.98,14.85,50
28-Feb-20,,,14.97,14.84,50
29-Feb-20,,,14.97,14.83,50
1-Mar-20,,,14.96,14.82,50
2-Mar-20,,,14.96,14.82,50
3-Mar-20,,,14.97,14.82,50
4-Mar-20,,,14.97,14.82,50
5-Mar-20,,,14.96,14.82,50
6-Mar-20,,,14.96,14.81,50
7-Mar-20,,,14.96,14.8,50
8-Mar-20,,,14.95,14.78,50
9-Mar-20,,,14.95,14.79,50
10-Mar-20,,,15.01,14.86,50
11-Mar-20,,,14.99,14.84,50
12-Mar-20,,,14.98,14.82,50
13-Mar-20,,,14.97,14.81,50
14-Mar-20,,,14.96,14.8,50
15-Mar-20,,,14.96,14.79,50
16-Mar-20,,,14.92,14.78,50
17-Mar-20,,,14.83,14.72,50
18-Mar-20,,,14.81,14.7,50
19-Mar-20,,,14.8,14.69,50
20-Mar-20,,,14.79,14.68,50
21-Mar-20,,,14.79,14.67,50
22-Mar-20,,,14.78,14.67,50
23-Mar-20,,,14.78,14.66,50
24-Mar-20,,,14.77,14.66,50
25-Mar-20,,,14.77,14.65,50
26-Mar-20,,,14.77,14.65,50
27-Mar-20,,,14.74,14.65,50
28-Mar-20,,,14.65,14.65,50
29-Mar-20,,,14.63,14.64,50
30-Mar-20,,,14.62,14.64,50
31-Mar-20,,,14.62,14.63,50
1-Apr-20,,,14.61,14.63,50
2-Apr-20,,,14.56,14.61,50
3-Apr-20,,,14.38,14.48,50
4-Apr-20,,,14.36,14.43,50
5-Apr-20,,,14.36,14.42,50
6-Apr-20,,,14.37,14.43,50
7-Apr-20,,,14.36,14.42,50
8-Apr-20,,,14.36,14.41,50
9-Apr-20,,,14.36,14.41,50
10-Apr-20,,,14.35,14.4,50
11-Apr-20,,,14.35,14.4,50
12-Apr-20,,,14.35,14.4,50
13-Apr-20,,,14.34,14.39,50
14-Apr-20,,,14.34,14.39,50
15-Apr-20,,,14.34,14.38,50
16-Apr-20,,,14.34,14.38,50
17-Apr-20,,,14.34,14.38,50
18-Apr-20,,,14.35,14.39,50
19-Apr-20,,,14.35,14.4,50
20-Apr-20,,,14.34,14.38,50
21-Apr-20,,,14.33,14.37,50
22-Apr-20,,,14.33,14.35,50
23-Apr-20,,,14.25,14.27,50
24-Apr-20,,,14.08,14.08,50
25-Apr-20,,,14.1,14.11,50
26-Apr-20,,,14.1,14.13,50
27-Apr-20,,,14.07,14.1,50
28-Apr-20,,,14.09,14.09,50
29-Apr-20,,,14.01,14.05,50
30-Apr-20,,,14.01,14.07,50
1-May-20,,,14.11,14.08,50
2-May-20,,,13.89,13.86,50
3-May-20,,,13.88,13.85,50
4-May-20,,,13.92,13.84,50
5-May-20,,,13.92,13.84,50
6-May-20,,,13.91,13.84,50
7-May-20,,,13.84,13.83,50
8-May-20,,,13.78,13.83,50
9-May-20,,,13.75,13.83,50
10-May-20,,,13.76,13.84,50
11-May-20,,,13.73,13.84,50
12-May-20,,,13.69,13.82,50
13-May-20,,,13.76,13.81,50
14-May-20,,,13.81,13.81,50
15-May-20,,,13.84,13.83,50
16-May-20,,,13.86,13.86,50
17-May-20,,,13.84,13.84,50
18-May-20,,,13.91,13.91,50
19-May-20,,,13.93,13.93,50
20-May-20,,,13.92,13.92,50
21-May-20,,,13.98,13.98,50
22-May-20,,,13.93,13.92,50
23-May-20,,,13.89,13.88,50
24-May-20,,,14.04,14.03,50
25-May-20,,,14.11,14.11,50
26-May-20,,,14.02,14.03,50
27-May-20,,,14.1,14.01,50
28-May-20,,,14.53,14.05,50
29-May-20,,,14.63,14.02,50
30-May-20,,,14.64,13.99,50
31-May-20,,,14.64,13.99,50
1-Jun-20,,,14.65,14,50
2-Jun-20,,,14.74,14.15,50
3-Jun-20,,,14.94,14.47,50
4-Jun-20,,,14.93,14.4,50
5-Jun-20,,,14.93,14.4,50
6-Jun-20,,,14.98,14.44,50
7-Jun-20,,,15.01,14.43,50
8-Jun-20,,,15.02,14.43,50
9-Jun-20,,,15.03,14.43,50
10-Jun-20,,,15.02,14.41,50
11-Jun-20,,,15.03,14.44,50
12-Jun-20,,,15.04,14.49,50
13-Jun-20,,,15.04,14.52,50
14-Jun-20,,,15.04,14.55,50
15-Jun-20,,,15.06,14.59,50
16-Jun-20,,,15.08,14.63,50
17-Jun-20,,,15.08,14.66,50
18-Jun-20,,,15.22,14.84,50
19-Jun-20,,,15.44,15,50
20-Jun-20,,,15.68,15.17,50
21-Jun-20,,,15.74,15.16,50
22-Jun-20,,,15.78,15.16,50
23-Jun-20,,,15.8,15.14,50
24-Jun-20,,,15.8,15.13,50
25-Jun-20,,,15.8,15.12,50
26-Jun-20,,,15.8,15.11,50
27-Jun-20,,,15.8,15.1,50
28-Jun-20,,,15.8,15.1,50
29-Jun-20,,,15.79,15.09,50
30-Jun-20,,,15.78,15.09,50
1-Jul-20,,,15.77,15.09,50
2-Jul-20,,,15.76,15.1,50
3-Jul-20,,,15.74,15.11,50
4-Jul-20,,,15.73,15.11,50
5-Jul-20,,,15.73,15.14,50
6-Jul-20,,,15.74,15.14,50
7-Jul-20,,,15.79,15.14,50
8-Jul-20,,,15.84,15.13,50
9-Jul-20,,,15.86,15.13,50
10-Jul-20,,,15.87,15.13,50
11-Jul-20,,,15.92,15.15,50
12-Jul-20,,,15.98,15.19,50
13-Jul-20,,,16.09,15.23,50
14-Jul-20,,,16.14,15.2,50
15-Jul-20,,,16.2,15.2,50
16-Jul-20,,,16.2,15.17,50
17-Jul-20,,,16.2,15.17,50
18-Jul-20,,,16.25,15.22,50
19-Jul-20,,,16.26,15.21,50
20-Jul-20,,,16.25,15.19,50
21-Jul-20,,,16.24,15.18,50
22-Jul-20,,,16.32,15.27,50
23-Jul-20,,,16.41,15.33,50
24-Jul-20,,,16.42,15.3,50
25-Jul-20,,,16.4,15.26,50
26-Jul-20,,,16.39,15.24,50
27-Jul-20,,,16.38,15.22,50
28-Jul-20,,,16.36,15.21,50
29-Jul-20,,,16.34,15.19,50
30-Jul-20,,,16.32,15.18,50
31-Jul-20,,,16.31,15.18,50
1-Aug-20,,,16.32,15.2,50
2-Aug-20,,,16.33,15.29,50
3-Aug-20,,,16.31,15.39,50
4-Aug-20,,,16.31,15.49,50
5-Aug-20,,,16.29,15.43,50
6-Aug-20,,,16.34,15.43,50
7-Aug-20,,,16.32,15.45,50
8-Aug-20,,,16.32,15.46,50
9-Aug-20,,,16.3,15.46,50
10-Aug-20,,,16.3,15.46,50
11-Aug-20,,,16.29,15.47,50
12-Aug-20,,,16.29,15.47,50
13-Aug-20,,,16.31,15.46,50
14-Aug-20,,,16.31,15.46,50
15-Aug-20,,,16.32,15.46,50
16-Aug-20,,,16.31,15.46,50
17-Aug-20,,,16.3,15.46,50
18-Aug-20,,,16.31,15.45,50
19-Aug-20,,,16.33,15.48,50
20-Aug-20,,,16.39,15.51,50
21-Aug-20,,,16.4,15.49,50
22-Aug-20,,,16.4,15.49,50
23-Aug-20,,,16.39,15.48,50
24-Aug-20,,,16.37,15.48,50
25-Aug-20,,,16.35,15.47,50
26-Aug-20,,,16.33,15.47,50
27-Aug-20,,,16.35,15.49,50
28-Aug-20,,,16.33,15.48,50
29-Aug-20,,,16.31,15.47,50
30-Aug-20,,,16.3,15.47,50
31-Aug-20,,,16.3,15.47,50
1-Sep-20,,,16.28,15.47,50
2-Sep-20,,,16.26,15.46,50
3-Sep-20,,,16.25,15.45,50
4-Sep-20,,,16.23,15.45,50
5-Sep-20,,,16.21,15.44,50
6-Sep-20,,,16.18,15.43,50
7-Sep-20,,,16.17,15.44,50
8-Sep-20,,,16.17,15.45,50
9-Sep-20,,,16.21,15.48,50
10-Sep-20,,,16.28,15.55,50
11-Sep-20,,,16.3,15.59,50
12-Sep-20,,,16.32,15.63,50
13-Sep-20,,,16.43,15.76,50
14-Sep-20,,,16.38,15.72,50
15-Sep-20,,,16.32,15.68,50
16-Sep-20,,,16.28,15.65,50
17-Sep-20,,,16.36,15.64,50
18-Sep-20,,,16.41,15.63,50
19-Sep-20,,,16.45,15.63,50
20-Sep-20,,,16.46,15.63,50
21-Sep-20,,,16.72,15.87,50
22-Sep-20,,,16.78,15.85,50
23-Sep-20,,,16.83,15.8,50
24-Sep-20,,,16.86,15.78,50
25-Sep-20,,,16.89,15.79,50
26-Sep-20,,,16.9,15.78,50
27-Sep-20,,,16.89,15.77,50
28-Sep-20,,,16.9,15.76,50
29-Sep-20,,,16.91,15.77,50
30-Sep-20,,,16.94,15.8,50
1-Oct-20,,,16.98,15.82,50
2-Oct-20,,,17.01,15.83,50
3-Oct-20,,,17,15.81,50
4-Oct-20,,,16.99,15.8,50
5-Oct-20,,,16.97,15.78,50
6-Oct-20,,,16.96,15.77,50
