Cell,Pomacea_Species,year,pom.dens,n.TT
M1,Paludosa,2019,0.07142857142857142,28
M2,Paludosa,2019,0.03571428571428571,28
M3,Paludosa,2019,0.07142857142857142,28
M1,Paludosa,2020,0.01,28
M2,Paludosa,2020,0.07142857142857142,28
M3,Paludosa,2020,0.03571428571428571,28
M1,Paludosa,2021,0.01,28
M2,Paludosa,2021,0.10714285714285714,28
M3,Paludosa,2021,0.03571428571428571,28
M1,Maculata,2019,0.32142857142857145,28
M2,Maculata,2019,0.21428571428571427,28
M3,Maculata,2019,0.17857142857142858,28
M4,Maculata,2019,0.17857142857142858,28
M1,Maculata,2020,0.10714285714285714,28
M2,Maculata,2020,0.10714285714285714,28
M3,Maculata,2020,0.10714285714285714,28
M4,Maculata,2020,0.32142857142857145,28
M1,Maculata,2021,0.14285714285714285,28
M2,Maculata,2021,0.03571428571428571,28
M3,Maculata,2021,0.17857142857142858,28
M4,Maculata,2021,0.25,28
